city,state,title,url
Pahrump,Nevada,Nye Gold Seekers,http://nyegoldseekers.webs.com/
Reno,Nevada,Reno Gem and Mineral Society,http://www.renorockhounds.com/
Las Vegas,Nevada,Southern Nevada Gem and Mineral Society,http://www.snvgms.org/
Concord,New Hampshire,Capital Mineral Club,http://www.capitalmineralclub.org/
Keene,New Hampshire,Keene Mineral Club,https://sites.google.com/site/keenemineralclub/home
Conway,New Hampshire,Saco Valley Gem and Mineral Club,http://www.sacovalleygemandmineralclub.org/
Dover,New Hampshire,Southeastern New Hampshire Mineral Club,https://www.senhmc.org/
Cologne,New Jersey,Cape Atlantic Rockhounds Inc.,http://www.capeatlanticrockhounds.com/
Woodbury,New Jersey,Delaware Valley Earth Science Society,http://www.dvess.org/
Marlboro Township,New Jersey,Friends of Mineralogy - New Jersey Chapter,https://fomnj.wordpress.com/
Morristown,New Jersey,Morris Museum Mineralogical Society,http://morrismuseum.org/mineral-society/
Mountainside,New Jersey,"New Jersey Mineralogical Society, Inc",http://www.njmin.org/
Paterson,New Jersey,"North Jersey Mineralogical Society, Inc.",http://www.nojms.webs.com/
Albuquerque,New Mexico,Albuquerque Gem & Mineral Club,http://www.agmc.info/
Carlsbad,New Mexico,Carlsbad Gem and Mineral Society,http://www.carlsbadgms.org/
Deming,New Mexico,Deming Gem & Mineral Society,http://www.thedgms.com/
Silver City,New Mexico,"Grant County Rolling Stones Gem & Mineral Society, Inc.",http://rollingstonesgms.blogspot.com/
Los Alamos,New Mexico,Los Alamos Geological Society,http://pweb.netcom.com/~hoffmans/LAGS.html
Buffalo,New York,"Buffalo Geological Society, Inc.",http://www.bgsny.org/
Albany,New York,Capital District Mineral Club,http://capitaldistrictmineralclub.com/
Syracuse,New York,"Gem and Mineral Society of Syracuse, Inc.",http://www.gmss.us/
Bellmore,New York,Island Rockhounds Inc.,http://www.islandrockhounds.org/
Jamesport,New York,Long Island Mineral & Geology Society,http://www.limineralandgeology.com/LiMags/Home.html
Poughkeepsie,New York,Mid-Hudson Valley Gem and Mineral Society Inc.,http://mhvgms.org/index.html
Glen Cove,New York,Nassau Mineral Club,http://nassaumineralclub.org/
NYC,New York,New York Mineralogical Club,http://www.newyorkmineralogicalclub.org/
NYC,New York,New York Paleontological Society,http://www.nyps.org/index.htm
Middletown,New York,Orange County Mineral Society,http://www.orangecountymineralsocietynewyork.com/
Rochester,New York,Rochester Academy of Science,http://www.rasny.org/
Rochester,New York,Rochester Lapiday Society,http://www.rochesterlapidary.org/
Canton,New York,St. Lawrence County Rock & Mineral Club,http://stlawrencecountymineralclub.org/
Bay Shore,New York,Suffolk Gem & Mineral Club,http://www.suffolkgem.com/
Newark,New York,Wayne County Gem and Mineral Club,http://www.wcgmc.org/
